date,open,close,high,low
02.05.2018,144.67,144.66,144.67,144.66
30.04.2018,144.74,144.68,144.74,144.58
27.04.2018,144.74,144.71,144.74,144.70
26.04.2018,144.70,144.75,144.75,144.69
25.04.2018,144.69,144.70,144.71,144.62
24.04.2018,144.70,144.68,144.70,144.61
23.04.2018,144.71,144.69,144.72,144.61
20.04.2018,144.67,144.72,144.72,144.66
19.04.2018,144.70,144.66,144.73,144.66
18.04.2018,144.75,144.70,144.75,144.62
17.04.2018,144.68,144.75,144.75,144.68
16.04.2018,144.72,144.68,144.72,144.59
13.04.2018,144.70,144.72,144.73,144.65
12.04.2018,144.71,144.70,144.71,144.63
11.04.2018,144.66,144.71,144.72,144.65
10.04.2018,144.74,144.66,144.77,144.58
09.04.2018,144.76,144.75,144.77,144.72
06.04.2018,144.79,144.76,144.80,144.71
05.04.2018,144.87,144.79,144.88,144.78
04.04.2018,144.81,144.88,144.89,144.80
03.04.2018,144.81,144.81,144.82,144.77
29.03.2018,144.78,144.86,144.86,144.78
28.03.2018,144.76,144.79,144.79,144.74
27.03.2018,144.68,144.76,144.76,144.68
26.03.2018,144.70,144.68,144.72,144.68
23.03.2018,144.74,144.75,144.75,144.69
22.03.2018,144.62,144.74,144.76,144.62
21.03.2018,144.66,144.62,144.67,144.57
20.03.2018,144.59,144.67,144.67,144.59
19.03.2018,144.56,144.59,144.60,144.56
16.03.2018,144.56,144.59,144.59,144.56
15.03.2018,144.55,144.57,144.57,144.51
14.03.2018,144.55,144.56,144.57,144.48
13.03.2018,144.57,144.55,144.61,144.53
12.03.2018,144.52,144.58,144.58,144.50
09.03.2018,144.54,144.52,144.56,144.52
08.03.2018,144.51,144.54,144.57,144.47
07.03.2018,144.48,144.51,144.52,144.40
06.03.2018,144.42,144.46,144.52,144.41
05.03.2018,144.39,144.42,144.44,144.33
02.03.2018,144.47,144.42,144.49,144.34
01.03.2018,144.48,144.48,144.48,144.38
28.02.2018,144.40,144.48,144.48,144.38
27.02.2018,144.39,144.40,144.42,144.35
26.02.2018,144.36,144.40,144.41,144.33
23.02.2018,144.40,144.36,144.43,144.27
22.02.2018,144.43,144.40,144.44,144.34
21.02.2018,144.43,144.43,144.46,144.37
20.02.2018,144.47,144.43,144.48,144.36
19.02.2018,144.49,144.47,144.51,144.38
16.02.2018,144.45,144.50,144.50,144.43
15.02.2018,144.47,144.45,144.49,144.39
14.02.2018,144.47,144.47,144.53,144.40
13.02.2018,144.54,144.47,144.54,144.38
12.02.2018,144.50,144.54,144.57,144.46
09.02.2018,144.53,144.52,144.54,144.45
08.02.2018,144.54,144.53,144.58,144.46
07.02.2018,144.51,144.54,144.61,144.46
06.02.2018,144.03,144.51,144.57,144.01
05.02.2018,144.47,144.52,144.54,144.47
02.02.2018,144.55,144.46,144.55,144.42
01.02.2018,144.45,144.56,144.58,144.45
31.01.2018,144.43,144.45,144.49,144.43
30.01.2018,144.40,144.43,144.48,144.39
29.01.2018,144.40,144.41,144.45,144.40
26.01.2018,144.54,144.45,144.54,144.45
25.01.2018,144.59,144.54,144.62,144.52
24.01.2018,144.54,144.59,144.60,144.54
23.01.2018,144.52,144.54,144.63,144.52
22.01.2018,144.48,144.54,144.57,144.48
19.01.2018,144.48,144.48,144.57,144.48
18.01.2018,144.46,144.46,144.56,144.46
17.01.2018,144.48,144.46,144.53,144.46
16.01.2018,144.44,144.48,144.57,144.44
15.01.2018,144.46,144.48,144.51,144.46
12.01.2018,144.44,144.46,144.51,144.42
11.01.2018,144.52,144.44,144.56,144.42
10.01.2018,144.54,144.52,144.59,144.52
09.01.2018,144.56,144.52,144.61,144.52
08.01.2018,144.52,144.52,144.62,144.52
05.01.2018,144.54,144.52,144.60,144.52
04.01.2018,144.40,144.50,144.56,144.40
03.01.2018,144.38,144.42,144.50,144.38
02.01.2018,144.44,144.35,144.45,144.35
29.12.2017,144.44,144.46,144.48,144.44
28.12.2017,144.59,144.44,144.60,144.44
27.12.2017,144.58,144.56,144.61,144.56
22.12.2017,144.58,144.61,144.68,144.58
21.12.2017,144.55,144.58,144.65,144.55
20.12.2017,144.59,144.55,144.72,144.55
19.12.2017,144.76,144.59,144.83,144.59
18.12.2017,144.65,144.76,144.82,144.65
15.12.2017,144.70,144.65,144.78,144.64
14.12.2017,144.68,144.69,144.75,144.68
13.12.2017,144.79,144.64,144.80,144.64
12.12.2017,144.87,144.79,144.92,144.79
11.12.2017,144.89,144.87,144.95,144.87
08.12.2017,144.90,144.89,144.98,144.89
07.12.2017,144.87,144.88,144.94,144.87
06.12.2017,144.86,144.87,144.91,144.86
05.12.2017,144.88,144.85,144.89,144.85
04.12.2017,144.76,144.77,144.86,144.76
01.12.2017,144.80,144.76,144.85,144.76
30.11.2017,144.70,144.73,144.80,144.70
29.11.2017,144.73,144.70,144.78,144.70
28.11.2017,144.68,144.73,144.78,144.68
27.11.2017,144.70,144.72,144.81,144.70
24.11.2017,144.79,144.71,144.80,144.71
23.11.2017,144.81,144.80,144.81,144.80
22.11.2017,144.82,144.81,144.85,144.80
21.11.2017,144.73,144.82,144.87,144.73
20.11.2017,144.84,144.69,144.84,144.69
17.11.2017,144.64,144.70,144.78,144.64
16.11.2017,144.66,144.64,144.74,144.64
15.11.2017,144.62,144.66,144.74,144.62
14.11.2017,144.64,144.62,144.73,144.62
13.11.2017,144.64,144.62,144.71,144.62
10.11.2017,144.60,144.64,144.78,144.60
09.11.2017,144.70,144.60,144.75,144.60
08.11.2017,144.76,144.70,144.79,144.70
07.11.2017,144.72,144.76,144.81,144.69
06.11.2017,144.65,144.68,144.74,144.65
03.11.2017,144.65,144.65,144.72,144.65
02.11.2017,144.63,144.65,144.70,144.63
01.11.2017,144.58,144.63,144.70,144.58
30.10.2017,144.57,144.63,144.66,144.57
27.10.2017,144.57,144.58,144.64,144.57
26.10.2017,144.47,144.56,144.61,144.47
25.10.2017,144.52,144.47,144.53,144.47
24.10.2017,144.52,144.49,144.55,144.49
23.10.2017,144.48,144.51,144.59,144.48
20.10.2017,144.50,144.48,144.53,144.48
19.10.2017,144.47,144.50,144.55,144.47
18.10.2017,144.50,144.47,144.57,144.47
17.10.2017,144.49,144.55,144.55,144.49
16.10.2017,144.41,144.49,144.50,144.41
13.10.2017,144.41,144.41,144.47,144.41
12.10.2017,144.40,144.41,144.45,144.40
11.10.2017,144.34,144.40,144.43,144.34
10.10.2017,144.40,144.35,144.43,144.35
09.10.2017,144.37,144.40,144.48,144.37
06.10.2017,144.43,144.37,144.43,144.37
05.10.2017,144.38,144.43,144.47,144.38
04.10.2017,144.43,144.39,144.46,144.39
02.10.2017,144.47,144.42,144.50,144.42
29.09.2017,144.49,144.46,144.54,144.46
28.09.2017,144.42,144.48,144.52,144.42
27.09.2017,144.44,144.42,144.49,144.42
26.09.2017,144.46,144.44,144.49,144.44
25.09.2017,144.47,144.47,144.53,144.47
22.09.2017,144.46,144.46,144.51,144.46
21.09.2017,144.45,144.46,144.49,144.45
20.09.2017,144.48,144.47,144.54,144.47
19.09.2017,144.45,144.47,144.54,144.45
18.09.2017,144.44,144.46,144.53,144.44
15.09.2017,144.45,144.42,144.48,144.42
14.09.2017,144.40,144.40,144.47,144.40
13.09.2017,144.44,144.39,144.47,144.39
12.09.2017,144.51,144.42,144.52,144.42
11.09.2017,144.57,144.50,144.60,144.50
08.09.2017,144.65,144.57,144.65,144.55
07.09.2017,144.49,144.64,144.64,144.00
06.09.2017,144.57,144.50,144.59,144.50
05.09.2017,144.54,144.57,144.58,144.52
04.09.2017,144.51,144.54,144.55,144.51
01.09.2017,144.49,144.51,144.56,144.49
31.08.2017,144.46,144.49,144.51,144.45
30.08.2017,144.48,144.45,144.48,144.45
29.08.2017,144.45,144.47,144.47,144.44
28.08.2017,144.45,144.44,144.45,144.42
25.08.2017,144.45,144.44,144.46,144.42
24.08.2017,144.47,144.45,144.47,144.45
23.08.2017,144.46,144.47,144.47,144.41
22.08.2017,144.55,144.46,144.55,144.46
21.08.2017,144.56,144.55,144.56,144.53
18.08.2017,144.53,144.56,144.57,144.53
17.08.2017,144.54,144.52,144.54,144.52
16.08.2017,144.54,144.53,144.54,144.52
15.08.2017,144.56,144.54,144.57,144.51
14.08.2017,144.54,144.57,144.58,144.54
11.08.2017,144.54,144.54,144.54,144.51
10.08.2017,144.53,144.51,144.54,144.51
09.08.2017,144.53,144.54,144.55,144.52
08.08.2017,144.52,144.52,144.53,144.52
07.08.2017,144.52,144.54,144.54,144.51
04.08.2017,144.54,144.52,144.54,144.51
03.08.2017,144.53,144.55,144.55,144.53
02.08.2017,144.52,144.55,144.55,144.52
01.08.2017,144.50,144.56,144.56,144.50
31.07.2017,144.49,144.49,144.50,144.47
28.07.2017,144.49,144.47,144.49,144.45
27.07.2017,144.49,144.50,144.50,144.49
26.07.2017,144.46,144.44,144.46,144.44
25.07.2017,144.47,144.42,144.47,144.42
24.07.2017,144.44,144.46,144.46,144.44
21.07.2017,144.50,144.44,144.50,144.44
20.07.2017,144.34,144.41,144.43,144.34
19.07.2017,144.37,144.36,144.37,144.36
18.07.2017,144.33,144.35,144.37,144.33
17.07.2017,144.28,144.30,144.30,144.28
14.07.2017,144.26,144.26,144.30,144.26
13.07.2017,144.34,144.23,144.35,144.23
12.07.2017,144.22,144.35,144.35,144.22
11.07.2017,144.22,144.21,144.24,144.21
10.07.2017,144.20,144.26,144.27,144.20
07.07.2017,144.21,144.19,144.22,144.19
06.07.2017,144.29,144.22,144.29,144.16
05.07.2017,144.35,144.31,144.38,144.31
04.07.2017,144.37,144.38,144.39,144.37
03.07.2017,144.36,144.36,144.39,144.35
30.06.2017,144.33,144.34,144.37,144.33
29.06.2017,144.36,144.29,144.38,144.29
28.06.2017,144.35,144.41,144.42,144.35
27.06.2017,144.50,144.40,144.50,144.40
26.06.2017,144.52,144.52,144.54,144.52
23.06.2017,144.53,144.53,144.53,144.53
22.06.2017,144.58,144.55,144.58,144.55
21.06.2017,144.55,144.54,144.58,144.54
20.06.2017,144.53,144.53,144.53,144.52
19.06.2017,144.50,144.51,144.52,144.50
16.06.2017,144.48,144.49,144.49,144.47
15.06.2017,144.53,144.48,144.53,144.44
14.06.2017,144.52,144.54,144.54,144.52
13.06.2017,144.51,144.54,144.54,144.51
