date,open,close,high,low
02.05.2018,211.59,211.65,211.81,211.57
30.04.2018,211.93,211.90,211.93,211.55
27.04.2018,211.94,212.00,212.08,211.84
26.04.2018,211.40,211.75,211.75,211.39
25.04.2018,211.27,211.13,211.27,210.92
24.04.2018,211.31,211.27,211.33,210.91
23.04.2018,211.19,211.11,211.29,211.03
20.04.2018,211.61,211.38,211.68,211.28
19.04.2018,212.35,211.51,212.38,211.48
18.04.2018,212.61,212.47,212.77,212.47
17.04.2018,212.11,212.55,212.58,212.02
16.04.2018,212.16,212.15,212.17,211.69
13.04.2018,212.09,212.27,212.30,211.87
12.04.2018,212.17,212.08,212.36,211.99
11.04.2018,211.91,212.19,212.39,211.91
10.04.2018,212.41,212.07,212.55,211.99
09.04.2018,212.42,212.45,212.48,212.32
06.04.2018,212.41,212.46,212.48,212.10
05.04.2018,212.67,212.25,212.77,212.24
04.04.2018,212.47,212.87,212.94,212.47
03.04.2018,212.42,212.57,212.66,212.42
29.03.2018,212.13,212.79,212.79,212.13
28.03.2018,211.97,212.09,212.27,211.97
27.03.2018,211.44,211.99,211.99,211.37
26.03.2018,211.53,211.48,211.58,211.25
23.03.2018,211.48,211.61,211.64,211.18
22.03.2018,210.77,211.35,211.54,210.77
21.03.2018,210.83,210.53,210.85,210.46
20.03.2018,210.56,210.87,210.95,210.53
19.03.2018,210.34,210.62,210.67,210.06
16.03.2018,210.51,210.41,210.62,210.37
15.03.2018,210.03,210.33,210.44,209.92
14.03.2018,209.98,210.01,210.07,209.59
13.03.2018,209.69,209.85,209.96,209.63
12.03.2018,209.31,209.71,209.72,209.27
09.03.2018,209.61,209.41,209.61,209.39
08.03.2018,209.01,209.71,209.79,208.60
07.03.2018,208.85,209.10,209.21,208.75
06.03.2018,208.61,208.60,209.16,208.44
05.03.2018,209.29,208.47,209.29,208.47
02.03.2018,209.20,208.77,209.44,208.77
01.03.2018,208.71,209.01,209.05,208.67
28.02.2018,208.17,208.63,208.66,208.17
27.02.2018,208.35,208.20,208.46,208.12
26.02.2018,208.20,208.31,208.45,208.13
23.02.2018,207.72,208.16,208.16,207.71
22.02.2018,207.35,207.63,207.75,207.35
21.02.2018,207.51,207.60,207.76,207.48
20.02.2018,207.51,207.35,207.67,207.32
19.02.2018,207.89,207.51,207.89,207.32
16.02.2018,207.18,208.01,208.11,207.18
15.02.2018,207.15,207.18,207.45,206.95
14.02.2018,207.53,207.29,207.75,207.02
13.02.2018,207.61,207.35,207.86,207.31
12.02.2018,207.14,207.53,207.87,207.14
09.02.2018,207.55,207.79,207.99,207.55
08.02.2018,207.97,207.65,208.23,207.33
07.02.2018,208.26,208.09,208.82,207.86
06.02.2018,207.29,208.33,208.66,207.29
05.02.2018,207.43,207.93,208.09,207.21
02.02.2018,208.07,207.39,208.09,207.36
01.02.2018,208.01,208.06,208.59,207.67
31.01.2018,208.19,208.11,208.53,208.08
30.01.2018,208.29,208.12,208.49,208.12
29.01.2018,208.53,208.25,208.71,208.02
26.01.2018,209.43,208.92,209.59,208.90
25.01.2018,210.04,209.39,210.15,208.98
24.01.2018,210.11,210.02,210.15,209.80
23.01.2018,209.97,210.17,210.55,209.97
22.01.2018,209.51,209.91,210.07,209.51
19.01.2018,209.17,209.71,209.89,209.17
18.01.2018,209.21,209.41,209.61,209.08
17.01.2018,209.51,209.47,209.63,209.46
16.01.2018,209.31,209.47,209.89,209.31
15.01.2018,209.21,209.07,209.42,209.07
12.01.2018,208.67,209.27,209.31,208.67
11.01.2018,209.67,208.89,210.07,208.81
10.01.2018,209.51,209.52,209.92,209.44
09.01.2018,210.19,209.71,210.63,209.71
08.01.2018,209.97,210.21,210.51,209.94
05.01.2018,209.90,209.86,210.28,209.86
04.01.2018,209.21,209.96,209.96,209.21
03.01.2018,208.96,209.51,209.90,208.96
02.01.2018,209.69,209.11,209.69,209.11
29.12.2017,210.24,210.09,210.32,210.09
28.12.2017,211.07,210.28,211.09,210.25
27.12.2017,210.75,211.06,211.11,210.68
22.12.2017,210.73,210.77,210.95,210.63
21.12.2017,210.73,210.80,210.87,210.69
20.12.2017,211.29,210.76,211.54,210.53
19.12.2017,212.26,211.21,212.44,211.11
18.12.2017,212.23,212.26,212.53,212.19
15.12.2017,212.34,212.19,212.67,212.17
14.12.2017,212.05,212.29,212.29,211.69
13.12.2017,212.35,212.02,212.42,211.90
12.12.2017,212.90,212.46,212.98,212.34
11.12.2017,212.91,212.93,213.11,212.91
08.12.2017,212.79,212.91,213.18,212.70
07.12.2017,212.57,212.94,213.00,212.56
06.12.2017,212.83,212.62,212.90,212.60
05.12.2017,212.52,212.64,212.66,212.45
04.12.2017,212.18,212.25,212.50,212.18
01.12.2017,211.91,212.58,212.70,211.91
30.11.2017,211.26,211.63,211.87,211.26
29.11.2017,211.65,211.25,211.76,211.24
28.11.2017,211.71,211.75,211.99,211.71
27.11.2017,211.28,211.67,211.76,211.28
24.11.2017,211.61,211.28,211.61,211.25
23.11.2017,211.89,211.65,211.89,211.65
